,0,1,2,3,4,5,6
0,10,10,10,Clc1cc(Cl)c(Cl)c(Cl)c1,10,-4.63,-5.504566666666665
1,23,23,23,ClCCCl,23,-1.06,-1.2986999999999995
2,30,30,30,Brc1cc(Br)cc(Br)c1,30,-5.6,-3.2754249999999967
3,31,31,31,Clc1cc(Cl)cc(Cl)c1,31,-4.48,-4.801216666666662
4,39,39,39,CCNC(=S)NCC,39,-1.46,-1.7192800000000028
5,44,44,44,C1C=CCC=C1,44,-2.06,-2.097063333333331
6,49,49,49,Cc1ccc(C)c2ccccc12,49,-4.14,-4.076049999999995
7,51,51,51,C=CCC=C,51,-2.09,-1.9675199999999995
8,56,56,56,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,56,-3.999,-4.4799
9,59,59,59,CCCCBr,59,-2.37,-2.525175
10,70,70,70,ClCC(C)C,70,-2.0,-2.8479550000000025
11,76,76,76,CCCCl,76,-1.47,-1.829999999999999
12,78,78,78,CCCCCCCCC=C,78,-5.51,-5.053979999999989
13,83,83,83,CCCCCC#C,83,-3.01,-3.1102799999999995
14,86,86,86,CCCCC=C,86,-3.23,-3.081840000000001
15,88,88,88,CCCCC#C,88,-2.36,-2.327009999999999
16,96,96,96,Cc1cccc2c1ccc3ccccc32,96,-5.85,-6.939301999999998
17,101,101,101,CCCN(=O)=O,101,-0.8,-1.5144758333333337
18,107,107,107,CCCCCCC=C,107,-4.44,-4.175464999999994
19,109,109,109,CCCCCCCCCCCCCCCO,109,-6.35,-7.389559000000004
20,113,113,113,CC(O)c1ccccc1,113,-0.92,-2.7053799999999995
21,128,128,128,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,128,-6.47,-6.773377499999994
22,136,136,136,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,136,-7.39,-5.184172500000001
23,138,138,138,CCC(C)(C)C,138,-3.55,-3.050565000000004
24,139,139,139,CCCC(C)(C)C,139,-4.36,-3.2196800000000034
25,140,140,140,CCCC(C)(C)CO,140,-1.52,-0.8342149999999999
26,141,141,141,CC(C)(C)CO,141,-0.4,-1.1346900000000002
27,156,156,156,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,156,-6.01,-6.267364999999997
28,158,158,158,Oc1c(Cl)ccc(Cl)c1Cl,158,-2.64,-3.015360000000001
29,170,170,170,Oc1c(Cl)cc(Cl)cc1Cl,170,-2.34,-3.7175799999999968
30,174,174,174,CC(C)CC(C)(C)O,174,-0.92,-1.345785000000002
31,178,178,178,Cc1ccc(O)c(C)c1,178,-1.19,-2.3360200000000053
32,192,192,192,Brc1ccc2ccccc2c1,192,-4.4,-4.248934999999988
33,199,199,199,COc1ccccc1Cl,199,-2.46,-3.37430083333333
34,209,209,209,CCC(CC)CO,209,-1.17,0.11662000000000013
35,210,210,210,CCCCC(CC)CO,210,-2.11,-0.7957349999999995
36,218,218,218,CCCCC(C)O,218,-0.89,-1.2104000000000008
37,220,220,220,Oc2ncc1nccnc1n2,220,-1.947,-0.942930000000001
38,240,240,240,CCCC(C)CO,240,-1.11,-0.5266949999999998
39,243,243,243,CC(C)CO,243,0.1,-0.6516166666666661
40,244,244,244,CC(C)C,244,-2.55,-1.7193300000000007
41,247,247,247,CC1CCCO1,247,0.11,-2.5336516666666675
42,260,260,260,CC(C)(C)CCO,260,-0.5,-1.1652750000000005
43,265,265,265,Oc1ccc(Cl)c(Cl)c1,265,-1.25,-1.970774999999997
44,270,270,270,Cc1cc(C)cc(O)c1,270,-1.4,-2.3150050000000006
45,274,274,274,c1c(Cl)cccc1c2ccccc2,274,-4.88,-4.259459999999995
46,277,277,277,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,277,-4.47,-3.8505200000000017
47,286,286,286,CC(C)C(C)O,286,-0.18,-0.7725750000000001
48,289,289,289,CCC(C)CCO,289,-0.71,-0.5639849999999994
49,294,294,294,CC(C)CCO,294,-0.51,-0.963091666666665
50,296,296,296,CCCCC(C)CC,296,-5.16,-2.697907499999997
51,298,298,298,CCC(C)CC,298,-3.68,-1.8686149999999995
52,299,299,299,Cc1cccc(O)c1,299,-0.68,-1.4227249999999991
53,306,306,306,Clc1ccc(cc1)c2ccc(Cl)cc2 ,306,-6.56,-3.9698908333333303
54,308,308,308,Cc1ccc(Br)cc1,308,-3.19,-3.664389999999996
55,309,309,309,COc1ccc(Cl)cc1,309,-2.78,-3.4687124999999948
56,321,321,321,Cc1ccc(cc1)c2ccccc2,321,-4.62,-3.4751000000000074
57,323,323,323,Cc1ncnc2nccnc12,323,-0.466,-0.841302142857145
58,327,327,327,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,327,-2.593,-2.294781666666671
59,328,328,328,O=C1NC(=O)NC(=O)C1(CC=C)CC=C,328,-2.077,-1.8437300000000005
60,333,333,333,O=C1NC(=O)NC(=O)C1(CC)CC=C,333,-1.614,-2.130368333333333
61,336,336,336,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,336,-2.369,-2.5774450000000018
62,344,344,344,Nc1c(C)c[nH]c(=O)n1 ,344,-1.458,-1.922015
63,351,351,351,COc2cnc1cncnc1n2,351,-0.91,-1.6283400000000026
64,362,362,362,CC(=O)Nc1ccccc1,362,-1.33,-2.2387849999999987
65,363,363,363,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,363,-2.36,-1.7077538095238094
66,367,367,367,c3ccc2nc1ccccc1cc2c3,367,-3.67,-4.733510000000004
67,377,377,377,O=c1[nH]cnc2[nH]ncc12 ,377,-2.266,-3.370042142857144
68,381,381,381,CCNc1nc(NC(C)C)nc(SC)n1,381,-3.04,-2.82507
69,390,390,390,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,390,-2.596,-2.6225266666666673
70,404,404,404,CCN(CC)C(=O)CSc1ccc(Cl)nn1,404,-1.716,-3.6957791666666635
71,409,409,409,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,409,-3.59,-2.9216663333333344
72,422,422,422,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,422,-8.23,-5.693360000000004
73,424,424,424,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,424,-7.8,-6.340057000000005
74,427,427,427,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,427,-9.018,-6.006607
75,432,432,432,c2ccc1scnc1c2 ,432,-1.5,-2.503155000000004
76,433,433,433,c2ccc1[nH]nnc1c2,433,-0.78,-2.344275000000002
77,436,436,436,FC(F)(F)c1ccccc1,436,-2.51,-4.044113000000001
78,439,439,439,C(Cc1ccccc1)c2ccccc2,439,-4.62,-3.1753549999999984
79,449,449,449,CBr,449,-0.79,-1.440260000000001
80,453,453,453,c1ccccc1n2ncc(N)c(Br)c2(=O),453,-3.127,-1.787854999999999
81,457,457,457,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,457,-4.19,-3.3816249999999974
82,464,464,464,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,464,-1.877,-2.465585000000001
83,467,467,467,CCSC(=O)N(CC(C)C)CC(C)C,467,-3.68,-2.309919999999998
84,482,482,482,c1(O)c(C)ccc(C(C)C)c1,482,-2.08,-2.4626200000000007
85,490,490,490,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,490,-5.64,-5.264186666666667
86,501,501,501,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,501,-4.53,-3.6337224999999984
87,506,506,506,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,506,-5.67,-5.234664999999994
88,514,514,514,C/C1CCCCC1\C,514,-4.3,-3.600296666666669
89,519,519,519,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,519,-9.332,-4.488289999999995
90,523,523,523,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,523,-5.839,-4.535795000000002
91,530,530,530,C1CCCCCC1,530,-3.51,-3.5637857142857063
92,531,531,531,OC1CCCCCC1,531,-0.88,-1.330384999999998
93,532,532,532,C1CCC=CCC1,532,-3.18,-2.4267166666666653
94,533,533,533,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,533,-3.168,-2.3857933333333325
95,538,538,538,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,538,-1.13,-2.4556450000000005
96,542,542,542,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,542,-2.982,-2.4512316666666663
97,545,545,545,O=C2NC(=O)C1(CCCC1)C(=O)N2,545,-2.349,-2.1385049999999968
98,549,549,549,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,549,-8.176,-7.108125000000018
99,551,551,551,Nc1cc[nH]c(=O)n1 ,551,-1.155,-1.9879099999999996
100,552,552,552,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,552,-5.507,-4.592939999999999
101,560,560,560,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,560,-3.45,-3.990224999999999
102,561,561,561,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,561,-4.63,-4.467949999999995
103,566,566,566,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,566,-6.96,-3.7387699999999966
104,567,567,567,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,567,-6.34,-5.546424999999999
105,575,575,575,CCCCOCCCC,575,-1.85,-2.321680000000002
106,585,585,585,CCOCC,585,-0.09,-0.7285350000000003
107,587,587,587,CCSCC,587,-1.34,-2.118465
108,588,588,588,CCSSCC,588,-2.42,-1.9553550000000006
109,589,589,589,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,589,-4.07,-2.4667750000000033
110,594,594,594,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,594,-6.144,-4.453664999999999
111,613,613,613,CNC(=O)Oc1ccccc1C2OCCO2,613,-1.57,-2.4732450000000012
112,614,614,614,CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,614,-2.98,-2.505905000000003
113,622,622,622,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,622,-3.8,-3.5480284166666616
114,629,629,629,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,629,-4.16,-4.291420000000008
115,630,630,630,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,630,-5.41,-2.6020249999999963
116,634,634,634,OCC(O)C(O)CO,634,0.7,0.565792500000001
117,649,649,649,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,649,-3.42,-3.4619124999999955
118,650,650,650,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,650,-3.81,-3.9580774999999973
119,660,660,660,CCCCCCCC(=O)OCC,660,-3.39,-3.1310350000000016
120,665,665,665,CCc1ccccc1,665,-2.77,-3.5056700000000003
121,668,668,668,CCOC(=O)c1ccc(N)cc1,668,-2.1,-2.563814999999997
122,700,700,700,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,700,-8.003,-4.404675833333329
123,703,703,703,OCC1OC(O)(CO)C(O)C1O,703,0.64,-1.2670108333333325
124,704,704,704,c1ccoc1,704,-0.82,-1.1511399999999985
125,713,713,713,COc1ccccc1O ,713,-1.96,-1.692391666666665
126,717,717,717,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,717,-6.317,-5.485280000000005
127,720,720,720,ClC(Cl)(Cl)C(Cl)(Cl)Cl,720,-3.67,-2.2545900000000016
128,731,731,731,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,731,-3.09,-3.8540516666666633
129,738,738,738,c2ccc1[nH]ncc1c2 ,738,-2.16,-2.023876666666665
130,745,745,745,CI,745,-1.0,-1.5619349999999994
131,752,752,752,C1N(C(=O)NCC(C)C)C(=O)NC1,752,-2.15,-1.3714683333333344
132,756,756,756,c1nccc(C(=O)NN)c1,756,0.009,-0.5694233333333335
133,757,757,757,CC(C)CCOC(=O)C,757,-1.92,-2.396605
134,759,759,759,CC1=CC(=O)CC(C)(C)C1 ,759,-1.06,-2.4190350000000027
135,761,761,761,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,761,-6.49,-4.125031499999998
136,767,767,767,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,767,-2.93,-3.546341666666665
137,772,772,772,C1OC(O)C(O)C(O)C1O,772,0.39,-0.6382383333333346
138,773,773,773,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,773,-4.594,-2.401570000000002
139,786,786,786,Clc1cccc(c1)N(=O)=O,786,-2.77,-2.921835
140,787,787,787,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,787,-3.88,-2.9059550000000005
141,809,809,809,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,809,-6.89,-4.400524999999998
142,812,812,812,COC(=O)c1ccccc1,812,-1.85,-1.8534299999999992
143,837,837,837,COc1ccc(NC(=O)N(C)C)cc1Cl,837,-2.564,-3.7021549999999963
144,846,846,846,Oc1cccc(c1)N(=O)=O,846,-1.01,-0.823789999999999
145,848,848,848,CON(C)C(=O)Nc1ccc(Cl)cc1,848,-2.57,-3.4805204166666583
146,857,857,857,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,857,-3.57,-4.169044999999999
147,859,859,859,c1ccc2ccccc2c1,859,-3.6,-3.4080050000000006
148,865,865,865,NC(=O)c1cccnc1 ,865,0.61,-0.48217999999999983
