index,smiles,experimental,predicted,residual
4,FC(F)(Cl)C(F)(Cl)Cl,-3.04,-2.462188,-0.5778119945526123
11,Clc1cccc(Cl)c1Cl,-4.0,-3.7749817,-0.22501826286315918
15,Cc1cc(C)c(C)cc1C,-4.59,-3.1135807,-1.4764192962646483
18,Cc1ccc(C)c(C)c1,-3.31,-3.2452307,-0.06476932525634771
19,Oc1ccccc1O,0.62,-1.7096107,2.3296107006073
22,Clc1ccccc1Cl,-3.05,-3.671225,0.6212250709533693
24,CC(Cl)CCl,-1.6,-1.5123197,-0.0876803159713746
38,ClCCCCl,-1.62,-1.7272431,0.1072430658340453
42,O=N(=O)c1cccc(c1)N(=O)=O,-2.29,-2.9831986,0.6931986427307129
46,Clc1ccc(Cl)cc1,-3.27,-3.837596,0.5675959396362305
50,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,-2.5882394,-0.8017605686187745
57,Nc2cccc3nc1ccccc1cc23 ,-4.22,-4.115553,-0.10444709777832006
61,CCCCCCBr,-3.81,-4.4158273,0.6058272743225097
68,CCC#C,-1.24,-0.8066994,-0.43330060482025146
74,Clc1cccc2ccccc12,-3.93,-4.1907806,0.26078063964843734
75,CCCCCCl,-2.73,-3.171938,0.44193794250488283
89,CCCCI,-2.96,-2.4560075,-0.5039925193786621
93,CC1=CCCCC1,-3.27,-2.377612,-0.8923878860473633
99,Nc1cccc2ccccc12,-1.92,-2.9596143,1.0396142768859864
102,CCCCCCCCCO,-3.01,-2.5820944,-0.4279055690765379
105,CCCCCCCCCCCCCCCCCCO,-8.4,-6.8283553,-1.5716446876525882
114,CCCO,0.62,-0.18846631,0.8084663105010986
116,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,-7.253462,-4.346538162231445
117,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,-8.146936,-1.0130635833740236
124,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68,-8.433013,0.7530129623413089
126,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,-8.509867,1.0798667144775393
142,Clc1ccccc1c2ccccc2Cl ,-5.27,-4.4501867,-0.8198132705688472
149,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15,-2.7926683,-0.3573316574096679
153,Oc1ccc(Cl)c(Cl)c1Cl,-2.67,-4.2314887,1.5614887046813966
154,CC(C)C(C)C(C)C,-4.8,-3.1822085,-1.61779146194458
167,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25,-6.242028,-0.007971763610839844
