Mol_No,SMILES,actual,predict
2,CC(F)(F)F,14.6,14.456000000000019
3,BrC(Br)C(Br)Br,21.0,17.82350000000001
6,BrC=C(Br)Br,18.3,17.155499999999996
12,CC(Br)Br,18.5,14.96350000000002
25,CN(C)N,15.3,15.071999999999978
27,Cc1cc(C)c(C)c(C)c1,18.6,18.653499999999994
30,ClCC(Cl)=CCl,17.8,17.62049999999999
39,ClC=CCl,17.0,17.46820833333332
43,CCOC(Cl)=CCl,16.9,16.627000000000024
47,[O-][N+](=O)c1ccccc1[N+]([O-])=O,20.6,19.871499999999983
55,C=CC=C,14.8,15.915499999999993
60,CC(Cl)=CCCl,16.9,16.70100000000001
63,COCCC(C)OC,15.6,15.332000000000015
66,O=[S]1(=O)CCCO1,18.4,17.423188888888916
67,OCCCO,16.8,16.93899999999997
72,Oc1ccc(O)cc1,21.0,19.676999999999992
76,ClCCCCCCl,18.0,17.855166666666694
78,OCCCCCCCCCO,15.7,16.263999999999953
83,Brc1cccc2ccccc12,20.6,20.15249999999997
92,CC(Cl)[N+]([O-])=O,16.8,16.003000000000014
100,CCCCCCCl,16.1,16.092499999999987
106,CCOC(=C)CC,15.3,15.747500000000027
110,CCCCC=C,14.7,15.168000000000001
120,CCCCCCCC=C,15.4,15.538999999999978
129,OCC(F)(F)F,15.4,14.861500000000005
135,o1ccc2ccccc12,18.7,18.524500000000025
136,OC[CH]=[C]=[CH2],16.2,16.651499999999977
138,BrCC(Br)=C,17.7,17.04949999999998
139,ClC(=C)C(Cl)=C,17.1,16.93912499999998
141,OCC(Cl)CCl,17.5,17.74500000000002
178,CC=CC,14.6,14.891999999999982
182,CC(Cl)=C,15.5,16.639499999999988
184,Cc1ccc(N)c(Cl)c1,19.7,19.404999999999987
211,COC1CCCCO1,17.2,16.8231388888889
213,C\C=C/C(O)=O,16.8,16.46500000000003
215,CC1CCCCC1=O,17.6,17.53950000000001
224,CC=C(C)C,14.7,15.14599999999999
227,CC(C)[N+]([O-])=O,16.2,15.776000000000002
237,OCC#C,16.1,16.879999999999974
239,Cc1ccc(O)c(c1)C(C)(C)C,17.3,19.02799999999999
242,Cc1ccccc1C=C,18.6,18.916000000000015
247,Cc1ccc(Cl)c(Cl)c1,19.8,19.320999999999984
256,CCCCOC(C)CCO,15.9,15.741000000000007
273,CC1CCCC(=O)C1,17.7,17.417500000000004
275,C[C](C)=[C]=[CH2],15.1,15.057000000000006
280,Nc1cccc(c1)[N+]([O-])=O,21.4,20.008999999999983
290,Clc1ccc(cc1)C#N,19.5,19.56300000000002
291,Clc1ccc(cc1)C(Cl)(Cl)Cl,20.3,19.890499999999996
292,OCc1ccc(Cl)cc1,19.6,19.05250000000002
299,CCC(=O)c1ccc(F)cc1,19.6,18.35900000000002
311,O=C1C=C2NC=CC2=CC1=O,19.5,19.8385
316,O=C1C(=O)c2ccccc2c3ccccc13,20.3,20.31950000000004
318,CC=O,14.7,15.914999999999987
319,CC=NO,16.3,15.294499999999996
328,CC(=O)c1ccccc1,18.8,19.189500000000024
333,CC(Br)=O,16.7,16.027000000000005
336,CC(F)=O,14.7,14.989000000000006
351,NCC=C,15.5,16.17749999999999
354,C=CCC#N,16.0,16.28699999999998
355,CCOCC=C,15.0,14.87900000000001
358,ICC=C,18.3,16.92300000000001
359,C=CC[N+]#[C-],16.1,16.2155
362,SCC=C,16.4,16.033
363,CC(=C)C(=O)OCC=C,15.2,15.637500000000006
367,N,13.7,16.482125000000014
370,COc1ccc(C=CC)cc1,18.5,19.32070000000001
371,Nc1ccccc1,20.1,19.822166666666664
380,c1ccccc1,18.4,18.702000000000012
390,CC(=O)OCc1ccccc1,18.3,17.87300000000003
405,ClB(Cl)Cl,16.6,17.630708333333338
410,BrC=C,15.9,16.869500000000002
423,CCCCOC(C)=C,14.8,15.042500000000016
427,CCCCOC(=O)C1CC=CCC1C,16.1,17.353666666666687
429,CCCC=O,15.6,15.6285
432,CCCC#N,15.3,15.646500000000028
438,O=C=O,15.7,16.27250000000002
439,S=C=S,20.2,18.93050000000005
447,[Cl],17.3,16.463625000000015
453,ClCC(Cl)=O,17.5,17.33449999999998
458,ClC(Cl)Cl,17.8,17.929708333333338
461,[O-][N+](=O)C(Cl)(Cl)Cl,17.6,17.337725000000013
462,ClC(=C)C=C,16.1,16.670499999999983
477,O=C1CCC1,18.3,18.02763333333334
478,O=C1CCCCCCCCC1,16.8,17.106949999999983
486,C1CCC=CC1,17.2,17.341333333333306
494,O=C1CCCC1,17.9,17.935633333333342
506,CCCCOC(=O)/C=C/C(=O)OCCCC,16.7,16.2355
513,COCCOCCOC,15.7,15.524500000000016
514,CCCCC(CC)CNCC(CC)CCCC,15.6,15.695999999999996
523,CC(C)O[P](C)(=O)OC(C)C,16.4,16.237499999999976
532,CC(=O)CC(C)(C)O,15.8,15.612499999999997
534,C=CCOCC=C,15.3,15.815500000000007
535,C=[N+]=[N-],14.7,15.919125000000015
541,CCCCC(=O)CCCC,16.0,15.821999999999997
545,ClC(Cl)C=O,16.7,17.333499999999983
548,FC(F)(Cl)Cl,14.9,14.747749999999998
549,ClC(Cl)=C,16.7,16.548000000000023
554,CCNCC,14.9,15.236000000000008
567,CCCCOCCOCCOC(C)=O,16.0,15.80750000000002
572,COC(C)(C)C.OCCOCCO,16.0,15.621000000000016
575,CCOCCOCCOC(C)=O,16.2,15.723500000000033
578,NCCNCCN,16.7,16.812499999999975
583,C1COC=CC1,17.5,17.425874999999984
590,CC#CC,15.1,15.226999999999993
598,CN(C)C=O,17.4,15.927500000000009
599,COC(=O)CCCC(=O)OC,16.1,16.227999999999984
605,COC(=O)CCC(=O)OC,16.1,16.171
613,c1ccc(cc1)C#Cc2ccccc2,18.0,18.409500000000012
615,O=[S](=O)(c1ccccc1)c2ccccc2,21.1,19.345999999999993
621,COC(C)COC(C)CO,15.5,15.66899999999999
630,CNC(C)Cc1ccc2OCOc2c1,18.0,18.396500000000007
651,CCCC(=O)OCC,15.5,16.081000000000007
655,CCCl,15.7,16.235
661,CCF,15.2,14.822000000000024
