Mol_No,SMILES,actual,predict
0,ClCC(Cl)(Cl)Cl,4.4,6.272500000000001
5,CC(Cl)(Cl)C(Cl)Cl,6.7,5.066999999999993
7,CC(Cl)=C(Cl)Cl,15.7,6.776625000000005
9,FC(F)(Cl)C(F)(Cl)Cl,1.6,2.2325000000000035
29,[nH]1ccnn1,8.8,11.931000000000017
33,Clc1ccc(Cl)c(Cl)c1,4.2,7.048499999999999
62,OC(CCl)CCl,9.9,8.749499999999985
65,CC=CC=C,2.5,3.4883333333333284
69,OCCCCO,11.0,8.395
71,ClCCCCCl,7.7,7.709999999999992
77,CC12CCC(CC1)C(C)(C)O2,4.6,5.757499999999997
79,CC(=O)OC=CC=C,4.4,6.679000000000005
80,NC1(CC1)C(O)=O,6.3,9.241000000000005
82,CCOc1ccc(Br)cc1,7.7,6.560250000000001
84,CCCBr,7.9,3.896999999999995
90,CCOC(Cl)=C,6.5,9.626750000000003
94,CC=CCCl,7.7,7.032499999999991
97,CC(C)=CCl,7.1,7.234000000000002
104,CCCCCCCCC=C,1.0,0.8794999999999995
118,CCC[N+]([O-])=O,12.3,12.558499999999992
125,CCCS,5.8,3.632624999999997
131,CC(C)CC(C)(C)C,0.0,3.5423749999999994
133,CC(C)(C)CO,6.5,6.315499999999998
137,CC1OC(=O)OC1C,16.8,14.214500000000012
144,Oc1c(Br)cc(Br)cc1Br,10.2,7.636166666666676
145,COc1c(Cl)cc(Cl)cc1Cl,3.9,7.981999999999994
148,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,7.6,10.163500000000012
165,Fc1cccc(F)c1C#N,11.2,14.323
172,CC(Br)=C,6.0,3.8748749999999963
177,CC=CC,1.3,1.4585000000000006
181,OCC(Cl)=C,10.2,8.571499999999993
183,CC(C)(C)Cl,7.6,5.302499999999988
196,OC(=O)C(Cl)=C,9.4,8.317499999999994
204,CCC(=C)C=C,1.6,3.416562499999999
212,COC1OCCO1,8.4,4.592000000000001
221,CC(=C)C(Cl)=O,10.6,8.557999999999987
223,CCC(C)(C)O,6.1,6.06455000000001
228,[O-][N+](=O)c1sccc1,16.2,11.95999999999999
235,CC(C)S,6.8,2.9139999999999975
238,O=C1CCCN1,12.0,11.698000000000002
248,Cc1ccc(O)cc1C,6.0,4.863041666666664
249,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,12.8,11.639000000000005
250,C=CC1CO1,7.7,7.236916666666653
251,Fc1cc(F)cc(c1)C#N,11.2,14.0085
254,BrCC#C,6.5,7.053500000000002
258,OCCCCl,5.7,8.58599999999999
259,CC(=C)CCl,5.6,6.239999999999993
261,ClCCC=O,13.3,9.576500000000005
266,OC1CCOC1,9.4,8.709416666666664
281,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,4.1,11.85850000000001
285,BrCCC=C,6.0,5.776499999999994
302,IC[CH]=[C]=[CH2],6.3,4.1049999999999995
305,CC1CCC(O)CC1,6.3,8.122666666666676
307,C=CCCC=O,8.1,10.097999999999992
310,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,8.1,8.275500000000005
312,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,8.3,8.275500000000005
314,Cc1c(Cl)cccc1[N+]([O-])=O,9.6,11.831999999999985
329,CC(C)=NO,3.7,5.246910714285716
334,CC(Cl)=O,11.2,9.499999999999991
339,NC(=O)C=C,12.1,13.123499999999986
346,CNCC(O)c1ccc(O)c(O)c1,8.7,6.751000000000004
347,CC(=O)OCC=C,4.5,5.166000000000009
350,OCC=C,10.8,7.374166666666659
357,C=CCOC=O,5.4,8.421499999999998
360,CC(C)OCC=C,4.1,4.503249999999998
365,C=CCCC#N,11.2,13.673500000000017
373,COc1ccc(N)cc1,5.4,6.354999999999998
386,O=C(c1ccccc1)c2ccccc2,7.2,8.215000000000005
388,ClC(Cl)(Cl)c1ccccc1,3.2,5.458499999999999
389,ClC(=O)c1ccccc1,6.8,8.038000000000006
404,NC(=O)NC(N)=O,14.6,13.458499999999985
408,Brc1ccccc1,5.5,4.627000000000001
430,CCCC(O)=O,4.8,6.633499999999997
436,O=C1CCCCCO1,15.0,17.18499999999996
440,S=C=S,5.8,3.2439999999999984
442,ClC(Cl)(Cl)Cl,8.3,2.3535
445,CCCCCCCCCCCCCCCCO,3.7,3.6905000000000068
448,ClCC=O,14.0,9.680000000000007
449,OC(=O)CCl,10.4,7.566500000000002
450,ClC1=CC(=O)OC1=O,17.3,15.405000000000015
451,CC(=O)CCl,9.6,8.930000000000001
457,FC(F)Cl,6.3,5.13200000000001
460,[O-][N+](=O)CCl,13.5,11.425500000000005
464,OCC=Cc1ccccc1,6.0,6.267750000000001
471,C/C=C/C(O)=O,8.7,5.923500000000016
475,BrC#N,15.2,13.510500000000006
482,C1CCCCC1,0.0,0.41
485,O=C1CCCCC1,8.4,10.309499999999987
501,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,10.3,9.90299999999999
504,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.3,3.0429999999999984
507,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,11.4,9.171500000000004
525,CC(C)[S](=O)C(C)C,11.5,11.696500000000007
527,CCCC[S](=O)CCCC,10.5,10.475500000000016
530,CCC[S](=O)CCC,13.0,11.264500000000009
531,CCC(C)OC(C)CC,3.5,4.808999999999999
533,C=CCNCC=C,4.5,4.552833333333327
538,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,2.2,4.941000000000003
539,BrCBr,6.4,6.591499999999999
542,CCCCOC(=O)\C=C/C(=O)OCCCC,6.1,3.9230000000000005
543,CCCCOC(=O)c1ccccc1C(=O)OCCCC,8.6,6.725000000000003
560,CCOC(=O)C(=O)OCC,8.0,7.319500000000006
561,CCOC(=O)c1ccccc1C(=O)OCC,9.6,6.988500000000012
566,OCCOCCO,12.0,8.714499999999994
573,CCCCOCCOCCO,7.0,5.445000000000004
581,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,7.6,5.616000000000014
582,SS,6.3,5.180500000000003
588,CO[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC,7.1,5.425000000000001
589,COC(=O)CCC(C)C(=O)OC,8.7,6.897500000000003
593,COC(=O)OC,8.6,7.202500000000002
597,COC,6.1,5.2288571428571355
602,CO[P](C)(=O)OC,13.1,11.072499999999998
617,C(c1ccccc1)c2ccccc2,1.0,4.252000000000001
620,CC(O)COC(C)CO,10.6,6.770000000000013
622,CCCCOC(C)COC(C)CO,6.5,5.050999999999997
627,CCCCCCCCCCCC,0.0,0.072
637,CCO,8.8,6.2409166666666644
650,CCCCC(=O)CC,5.0,6.319000000000008
662,CCOC=O,8.4,8.782499999999994
