,0,1,2,3,4,5,6
0,8,8,8,ClCC(Cl)Cl,8,18.2,17.581049
1,16,16,16,CC(Cl)Cl,16,16.5,16.098759
2,17,17,17,ClC(Cl)=C,17,16.4,16.896341
3,19,19,19,CC=C(Cl)Cl,19,16.9,16.594917
4,26,26,26,Cc1ccc(C)c(C)c1C,26,18.8,18.746778
5,32,32,32,Clc1cc(Cl)c(Cl)cc1Cl,32,21.2,20.340979
6,35,35,35,Cl\C=C\Br,35,17.2,18.109869
7,36,36,36,OC1CCCCC1O,36,17.4,17.493525
8,37,37,37,O=C1CCCCC1=O,37,18.6,18.620342
9,38,38,38,BrC=CBr,38,17.0,18.472271
10,45,45,45,Oc1ccccc1O,45,20.0,19.352385
11,48,48,48,C=C1CO1,48,16.5,17.899878
12,50,50,50,C1Oc2ccccc2O1,50,19.0,19.836487
13,53,53,53,Oc1cccc(O)c1,53,18.6,19.299944
14,103,103,103,CCCCCCCCCCO,103,16.0,15.971514
15,111,111,111,COC=CC=C,111,15.5,15.2531595
16,115,115,115,Cc1cccc2ccccc12,115,19.7,19.530334
17,119,119,119,CCCCCCCCCO,119,16.0,16.451698
18,124,124,124,CCCC=C,124,13.9,15.180289
19,127,127,127,CCCCCCCCCCCCC=C,127,16.1,16.100243
20,142,142,142,ClCC(Cl)=C,142,16.2,16.952875
21,149,149,149,Nc1ccc(Cl)cc1Cl,149,20.9,20.217148
22,150,150,150,Clc1ccc(C=O)c(Cl)c1,150,19.7,19.83628
23,151,151,151,[O-][N+](=O)c1ccc(Cl)cc1Cl,151,20.4,20.033876
24,152,152,152,Oc1ccc(Cl)cc1Cl,152,20.0,19.840897
25,154,154,154,Cc1ccc(N)c(C)c1,154,19.2,19.505196
26,157,157,157,Oc1cc(Cl)ccc1Cl,157,20.0,19.476484
27,159,159,159,COC1CCC(OC)O1,159,16.8,16.87246
28,160,160,160,Cc1[nH]c(C)cc1,160,18.3,18.832434
29,162,162,162,Cn1cnc2nc(Cl)nc(Cl)c12,162,20.5,19.136719
30,171,171,171,OCC(Br)=C,171,17.1,17.438543
31,175,175,175,Brc1sccc1,175,20.1,20.041582
32,180,180,180,N#CC#CC#N,180,15.2,16.445364
33,190,190,190,CC(=O)OCCCl,190,16.7,16.365887
34,191,191,191,ClCCc1ccccc1,191,19.3,18.989376
35,194,194,194,Oc1ccccc1Cl,194,19.0,19.761358
36,207,207,207,CCCCC(CC)CO,207,15.9,15.719551
37,225,225,225,Cc1occc1,225,17.3,18.2704
38,226,226,226,CC(CO)[N+]([O-])=O,226,16.1,15.91462
39,229,229,229,CCCCCCC(C)O,229,16.1,15.333411
40,232,232,232,OCCOc1ccccc1,232,17.8,17.3294
41,245,245,245,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,245,20.1,20.02498
42,253,253,253,C=CCN=[N+]=[N-],253,16.8,15.851773
43,255,255,255,C=CCC#N,255,16.2,15.931786
44,262,262,262,ClCCC#N,262,17.3,17.653786
