Mol_No,SMILES,actual,predict
0,ClCC(Cl)(Cl)Cl,4.2,4.3045506
5,CC(Cl)(Cl)C(Cl)Cl,3.3,3.6314332
7,CC(Cl)=C(Cl)Cl,3.4,2.1476414
9,FC(F)(Cl)C(F)(Cl)Cl,0.0,0.5736229
29,[nH]1ccnn1,15.0,11.700808
33,Clc1ccc(Cl)c(Cl)c1,3.2,3.7723475
62,OC(CCl)CCl,14.6,13.976455
65,CC=CC=C,4.0,4.384383
69,OCCCCO,20.9,17.902113
71,ClCCCCCl,2.8,3.0122094
77,CC12CCC(CC1)C(C)(C)O2,3.4,6.463541
79,CC(=O)OC=CC=C,8.3,9.692242
80,NC1(CC1)C(O)=O,13.6,19.441706
82,CCOc1ccc(Br)cc1,5.3,4.9520144
84,CCCBr,4.8,3.6357281
90,CCOC(Cl)=C,5.7,5.70301
94,CC=CCCl,2.0,3.2351334
97,CC(C)=CCl,4.2,4.8670754
104,CCCCCCCCC=C,2.2,1.6543759
118,CCC[N+]([O-])=O,5.5,4.4851704
125,CCCS,5.7,6.1314926
131,CC(C)CC(C)(C)C,0.0,4.209056
133,CC(C)(C)CO,13.5,15.741879
137,CC1OC(=O)OC1C,3.1,3.1926076
144,Oc1c(Br)cc(Br)cc1Br,14.1,15.884629
145,COc1c(Cl)cc(Cl)cc1Cl,7.0,5.6311975
148,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,3.7,7.3610907
165,Fc1cccc(F)c1C#N,3.2,3.2583108
172,CC(Br)=C,4.9,3.4342225
177,CC=CC,4.1,4.566136
181,OCC(Cl)=C,16.4,11.480863
183,CC(C)(C)Cl,2.0,3.6366093
196,OC(=O)C(Cl)=C,12.4,12.390943
204,CCC(=C)C=C,3.8,4.1029468
212,COC1OCCO1,7.7,10.7611885
221,CC(=C)C(Cl)=O,7.3,5.5541058
223,CCC(C)(C)O,13.3,11.159131
228,[O-][N+](=O)c1sccc1,8.2,10.330767
235,CC(C)S,6.5,4.439835
238,O=C1CCCN1,9.0,7.125418
248,Cc1ccc(O)cc1C,13.4,9.151598
249,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,14.3,17.272987
250,C=CC1CO1,7.4,6.5133824
251,Fc1cc(F)cc(c1)C#N,3.2,3.1084585
254,BrCC#C,5.3,6.2825785
258,OCCCCl,14.7,16.124197
259,CC(=C)CCl,2.0,3.3099349
261,ClCCC=O,8.2,5.321368
266,OC1CCOC1,16.3,12.915794
281,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,1.7,3.275278
285,BrCCC=C,4.5,5.3650446
302,IC[CH]=[C]=[CH2],6.2,5.4368796
305,CC1CCC(O)CC1,12.5,11.039753
307,C=CCCC=O,6.8,7.8914165
310,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,17.7,19.688423
312,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,10.6,19.688423
314,Cc1c(Cl)cccc1[N+]([O-])=O,3.8,0.6846912
329,CC(C)=NO,10.9,13.945059
334,CC(Cl)=O,5.8,6.5241504
339,NC(=O)C=C,12.8,10.089753
346,CNCC(O)c1ccc(O)c(O)c1,19.9,15.687377
347,CC(=O)OCC=C,8.0,7.074405
350,OCC=C,16.8,17.05968
357,C=CCOC=O,8.8,8.771731
360,CC(C)OCC=C,7.1,4.7551475
365,C=CCCC#N,5.0,6.213517
373,COc1ccc(N)cc1,11.4,11.763571
386,O=C(c1ccccc1)c2ccccc2,5.1,6.5534616
388,ClC(Cl)(Cl)c1ccccc1,3.2,2.3942664
389,ClC(=O)c1ccccc1,4.5,6.0049224
404,NC(=O)NC(N)=O,18.8,16.687609
408,Brc1ccccc1,4.1,4.0764666
430,CCCC(O)=O,12.0,9.026578
436,O=C1CCCCCO1,7.4,6.8648386
440,S=C=S,0.6,1.8135792
442,ClC(Cl)(Cl)Cl,0.0,2.548289
445,CCCCCCCCCCCCCCCCO,8.1,8.705998
448,ClCC=O,9.0,6.582955
449,OC(=O)CCl,12.3,14.23251
450,ClC1=CC(=O)OC1=O,11.5,8.65521
451,CC(=O)CCl,5.5,6.6897206
457,FC(F)Cl,5.7,3.7768328
460,[O-][N+](=O)CCl,5.5,5.4150853
464,OCC=Cc1ccccc1,13.0,13.449529
471,C/C=C/C(O)=O,12.0,11.765563
475,BrC#N,0.0,13.768794
482,C1CCCCC1,0.2,2.4212446
485,O=C1CCCCC1,5.1,5.2272544
501,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,5.2,6.0258503
504,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.0,2.7950337
507,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,3.1,3.4392822
525,CC(C)[S](=O)C(C)C,7.4,7.476293
527,CCCC[S](=O)CCCC,6.1,5.813353
530,CCC[S](=O)CCC,7.4,5.813353
531,CCC(C)OC(C)CC,3.3,4.4831653
533,C=CCNCC=C,6.7,7.63138
538,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,5.5,4.845525
539,BrCBr,7.0,5.8132806
542,CCCCOC(=O)\C=C/C(=O)OCCCC,7.2,6.565924
543,CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.1,5.778655
560,CCOC(=O)C(=O)OCC,8.8,7.0618124
561,CCOC(=O)c1ccccc1C(=O)OCC,4.5,5.9527607
566,OCCOCCO,19.0,16.058096
573,CCCCOCCOCCO,10.6,11.73314
581,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,3.6,4.368189
582,SS,10.7,9.502416
588,CO[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC,7.5,4.776639
589,COC(=O)CCC(C)C(=O)OC,5.0,8.896478
593,COC(=O)OC,9.7,8.427682
597,COC,5.7,5.9586163
602,CO[P](C)(=O)OC,7.5,7.09266
617,C(c1ccccc1)c2ccccc2,1.0,5.70856
620,CC(O)COC(C)CO,17.7,16.601221
622,CCCCOC(C)COC(C)CO,10.0,10.126627
627,CCCCCCCCCCCC,0.0,0.62391317
637,CCO,19.4,13.047445
650,CCCCC(=O)CC,4.1,4.819339
662,CCOC=O,8.4,7.6256347
666,CCOC(C)=C,5.1,4.5772705
668,CCOC(=O)C(C)O,12.5,12.413811
669,CCOC(=O)C(C)=C,7.5,6.1020937
683,[O-][N+](=O)OCCO[N+]([O-])=O,6.0,8.960947
693,COC(C)(C)C.OCCO,8.2,11.434514
694,CCCCCCOCC.OCCO,10.5,6.5305552
702,CCOCCOC(C)=O,10.6,8.388392
705,COCCO,15.0,13.046095
