Mol_No,SMILES,actual,predict
8,ClCC(Cl)Cl,5.3,8.152974
16,CC(Cl)Cl,7.8,6.5921297
17,ClC(Cl)=C,5.2,6.879665
19,CC=C(Cl)Cl,6.7,4.885242
26,Cc1ccc(C)c(C)c1C,0.5,4.10345
32,Clc1cc(Cl)c(Cl)cc1Cl,10.7,6.6092677
35,Cl\C=C\Br,6.6,8.199452
36,OC1CCCCC1O,9.8,6.103931
37,O=C1CCCCC1=O,10.3,11.693553
38,BrC=CBr,4.9,6.7827926
45,Oc1ccccc1O,11.3,6.0114965
48,C=C1CO1,8.6,5.735751
50,C1Oc2ccccc2O1,6.7,4.6477127
53,Oc1cccc(O)c1,8.1,6.606895
103,CCCCCCCCCCO,4.7,3.7651076
111,COC=CC=C,8.3,4.2992535
115,Cc1cccc2ccccc12,0.8,3.0925457
119,CCCCCCCCCO,4.8,3.7651076
124,CCCC=C,1.4,4.4872236
127,CCCCCCCCCCCCC=C,0.5,0.82767457
142,ClCC(Cl)=C,7.8,8.495087
149,Nc1ccc(Cl)cc1Cl,6.2,6.3094087
150,Clc1ccc(C=O)c(Cl)c1,8.8,8.313555
151,[O-][N+](=O)c1ccc(Cl)cc1Cl,8.7,5.816969
152,Oc1ccc(Cl)cc1Cl,7.2,6.514213
154,Cc1ccc(N)c(C)c1,5.2,7.1029406
157,Oc1cc(Cl)ccc1Cl,6.3,7.2124143
159,COC1CCC(OC)O1,7.2,6.5980434
160,Cc1[nH]c(C)cc1,7.6,8.111643
162,Cn1cnc2nc(Cl)nc(Cl)c12,11.7,16.022001
171,OCC(Br)=C,9.9,8.725126
175,Brc1sccc1,5.2,8.396758
180,N#CC#CC#N,16.2,14.898118
190,CC(=O)OCCCl,9.6,6.362623
191,ClCCc1ccccc1,6.3,6.2593055
194,Oc1ccccc1Cl,5.5,7.4370513
207,CCCCC(CC)CO,3.3,4.629673
225,Cc1occc1,2.8,6.257967
226,CC(CO)[N+]([O-])=O,13.7,12.305633
229,CCCCCCC(C)O,4.9,4.5199227
232,OCCOc1ccccc1,5.7,5.7356844
245,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,7.2,11.242076
253,C=CCN=[N+]=[N-],7.7,7.855558
255,C=CCC#N,14.3,13.299136
262,ClCCC#N,15.9,13.388219
263,ClCC#C,7.4,6.890615
282,CC(=O)c1ccc(cc1)C(F)(F)F,6.1,9.64053
283,Nc1ccncc1,16.1,10.782898
287,Cc1ccc(Cl)cc1[N+]([O-])=O,11.8,9.542308
297,CCC1COC(=O)O1,9.8,15.179958
301,OC(=O)C=Cc1ccc(O)cc1,6.7,8.595161
